Date,Price,Open,High,Low,Vol.,Change %
1-Jan-21,"44,434.80","43,755.38","44,874.86","43,755.38",-,1.55%
31-Dec-20,"43,755.38","43,694.76","43,890.14","43,665.93",-,0.14%
30-Dec-20,"43,694.76","43,282.27","43,750.25","43,282.27",-,1.02%
29-Dec-20,"43,255.55","43,674.28","43,912.10","43,203.68",-,-0.96%
28-Dec-20,"43,674.28","43,416.77","43,760.67","43,416.77",-,0.59%
24-Dec-20,"43,416.77","43,087.70","43,631.36","43,087.70",-,0.76%
23-Dec-20,"43,087.70","42,906.94","43,216.16","42,852.79",-,0.42%
22-Dec-20,"42,906.94","43,333.76","43,478.97","42,757.49",-,-0.98%
21-Dec-20,"43,333.76","43,740.56","43,790.72","43,295.64",-,-0.93%
18-Dec-20,"43,740.55","43,766.69","43,955.56","43,638.33",-,-0.06%
17-Dec-20,"43,766.69","43,360.19","43,793.22","43,360.19",-,0.94%
16-Dec-20,"43,360.19","43,250.84","43,556.06","43,183.77",-,0.25%
15-Dec-20,"43,250.84","43,266.22","43,709.71","43,126.48",-,-0.04%
14-Dec-20,"43,266.22","42,470.40","43,316.11","42,470.40",-,1.87%
11-Dec-20,"42,470.39","42,305.84","42,628.01","42,305.84",-,0.39%
10-Dec-20,"42,305.84","42,204.03","42,441.31","42,119.63",-,0.24%
9-Dec-20,"42,204.03","42,101.78","42,350.23","42,030.61",-,0.24%
8-Dec-20,"42,101.78","42,115.31","42,233.96","41,948.35",-,-0.03%
7-Dec-20,"42,115.31","42,207.00","42,321.37","42,047.00",-,-0.22%
4-Dec-20,"42,207.00","42,047.72","42,316.52","42,047.72",-,0.38%
3-Dec-20,"42,047.72","42,027.38","42,412.51","42,009.30",-,0.05%
2-Dec-20,"42,027.38","41,665.27","42,074.11","41,665.27",-,0.87%
1-Dec-20,"41,665.27","41,068.82","41,724.04","41,068.82",-,1.45%
30-Nov-20,"41,068.82","40,807.09","41,115.10","40,669.85",-,0.64%
27-Nov-20,"40,807.09","41,031.03","41,066.52","40,753.30",-,-0.55%
26-Nov-20,"41,031.03","40,377.54","41,127.49","40,377.54",-,1.62%
25-Nov-20,"40,377.53","39,863.36","40,431.56","39,863.36",-,1.29%
24-Nov-20,"39,863.36","39,632.52","40,021.33","39,631.07",-,0.58%
23-Nov-20,"39,632.52","40,187.18","40,187.18","39,314.28",-,-1.38%
20-Nov-20,"40,187.18","40,540.70","40,598.24","40,126.80",-,-0.87%
19-Nov-20,"40,540.70","40,514.67","40,745.02","40,431.41",-,0.06%
18-Nov-20,"40,514.67","40,652.67","40,658.15","40,344.62",-,-0.34%
