Date,Price,Open,High,Low,Vol.,Change %
1-Jan-21,"14,149.78","14,114.51","14,176.86","14,111.60",25.65M,0.35%
31-Dec-20,"14,100.47","14,096.40","14,132.92","14,056.67",32.12M,0.06%
30-Dec-20,"14,091.87","14,097.69","14,105.60","13,973.96",34.70M,0.32%
29-Dec-20,"14,046.41","14,037.44","14,085.32","13,970.24",34.30M,0.38%
28-Dec-20,"13,993.71","13,932.87","14,004.13","13,932.40",32.81M,0.89%
24-Dec-20,"13,870.75","13,824.23","13,890.57","13,763.77",169.34M,1.01%
23-Dec-20,"13,732.48","13,605.50","13,750.75","13,548.53",38.69M,1.12%
22-Dec-20,"13,580.77","13,404.68","13,605.31","13,266.56",65.92M,1.13%
21-Dec-20,"13,428.50","13,872.23","13,895.38","13,213.90",72.11M,-3.31%
18-Dec-20,"13,888.05","13,904.02","13,904.03","13,777.86",45.09M,0.18%
17-Dec-20,"13,862.47","13,858.16","13,909.26","13,821.25",46.51M,0.27%
16-Dec-20,"13,825.34","13,795.37","13,833.59","13,752.44",52.63M,0.87%
15-Dec-20,"13,705.60","13,705.50","13,719.97","13,584.95",57.50M,0.10%
14-Dec-20,"13,691.91","13,698.52","13,729.00","13,617.60",54.91M,0.36%
11-Dec-20,"13,643.32","13,649.31","13,708.38","13,532.46",74.31M,0.23%
10-Dec-20,"13,611.82","13,620.71","13,632.47","13,518.48",63.23M,-0.28%
9-Dec-20,"13,650.01","13,604.14","13,674.19","13,588.57",60.72M,0.91%
8-Dec-20,"13,526.34","13,544.84","13,572.06","13,433.46",49.02M,0.22%
7-Dec-20,"13,495.98","13,402.37","13,505.60","13,383.13",53.93M,0.81%
4-Dec-20,"13,386.97","13,289.18","13,403.00","13,277.42",67.45M,0.90%
3-Dec-20,"13,267.86","13,309.21","13,321.41","13,239.12",111.39M,0.32%
2-Dec-20,"13,225.93","13,234.54","13,235.32","13,097.53",134.32M,0.15%
1-Dec-20,"13,205.51","13,147.93","13,223.79","13,063.44",44.41M,1.19%
27-Nov-20,"13,050.61","13,091.79","13,125.38","13,011.79",59.64M,-0.12%
26-Nov-20,"13,065.99","12,970.85","13,094.41","12,875.93",40.20M,1.05%
25-Nov-20,"12,929.68","13,193.99","13,214.72","12,907.70",66.44M,-1.49%
24-Nov-20,"13,125.27","13,080.55","13,144.89","13,056.99",47.49M,0.94%
23-Nov-20,"13,003.39","13,006.27","13,042.96","12,914.41",49.23M,0.58%
20-Nov-20,"12,928.27","12,883.30","12,959.34","12,802.84",47.66M,0.69%
19-Nov-20,"12,839.33","12,931.37","13,038.32","12,817.91",65.13M,-1.25%
