Date,Price,Open,High,Low,Vol.,Change %
31-Dec-20,"1,210.73","1,214.07","1,214.73","1,208.84",-,-0.30%
30-Dec-20,"1,214.43","1,218.08","1,221.19","1,214.00",-,-0.29%
29-Dec-20,"1,217.98","1,210.62","1,224.47","1,210.62",-,0.71%
28-Dec-20,"1,209.43","1,199.69","1,211.47","1,199.69",-,0.76%
24-Dec-20,"1,200.31","1,199.57","1,202.43","1,199.57",-,0.10%
23-Dec-20,"1,199.06","1,189.81","1,199.84","1,189.80",-,0.91%
22-Dec-20,"1,188.24","1,176.52","1,190.05","1,176.52",-,1.19%
21-Dec-20,"1,174.26","1,202.15","1,202.15","1,162.03",-,-2.60%
18-Dec-20,"1,205.64","1,208.01","1,216.35","1,205.09",-,-0.36%
17-Dec-20,"1,210.03","1,206.44","1,214.12","1,206.44",-,0.29%
16-Dec-20,"1,206.51","1,198.16","1,208.21","1,198.16",-,0.86%
15-Dec-20,"1,196.23","1,194.85","1,199.56","1,191.94",-,0.11%
14-Dec-20,"1,194.88","1,196.46","1,204.30","1,194.88",-,0.11%
11-Dec-20,"1,193.57","1,202.34","1,202.34","1,185.18",-,-0.73%
10-Dec-20,"1,202.33","1,202.86","1,209.67","1,196.98",-,-0.19%
9-Dec-20,"1,204.63","1,201.35","1,211.12","1,201.35",-,0.26%
8-Dec-20,"1,201.48","1,200.68","1,202.76","1,190.84",-,0.15%
7-Dec-20,"1,199.66","1,199.99","1,201.62","1,191.40",-,-0.11%
4-Dec-20,"1,201.04","1,191.80","1,201.04","1,191.80",-,0.75%
3-Dec-20,"1,192.15","1,195.60","1,196.36","1,188.57",-,-0.26%
2-Dec-20,"1,195.31","1,191.56","1,196.25","1,186.90",-,0.21%
1-Dec-20,"1,192.77","1,185.11","1,197.90","1,185.11",-,0.65%
30-Nov-20,"1,185.08","1,198.05","1,199.98","1,185.08",-,-1.14%
27-Nov-20,"1,198.76","1,195.38","1,200.45","1,193.24",-,0.23%
26-Nov-20,"1,195.98","1,195.71","1,199.93","1,194.99",-,-0.07%
